10175	6030790																																																																																																																																			
10176	4296133	2149682	2264429	6554611	6398548	5510129	5975893																																																																																																																													
10177	3690027	3780684																																																																																																																																		
10178	6002065	5244937	6172151																																																																																																																																	
10179	4736447																																																																																																																																			
1017	5530874	3240830																																																																																																																																		
10180	5618698	5621080	5756349	5273995	4681893	5547933	4377513	5441868	5955422																																																																																																																											
10181	0																																																																																																																																			
10182	5415578	5520567																																																																																																																																		
10183	5596656																																																																																																																																			
10184	6157956	6035264	6044393	6112237																																																																																																																																
10185	0																																																																																																																																			
10186	5465213																																																																																																																																			
10187	4750118																																																																																																																																			
10188	4762129																																																																																																																																			
10189	6165063	5902178																																																																																																																																		
1018	8286070	7689898	6789228																																																																																																																																	
10190	0																																																																																																																																			
10191	0																																																																																																																																			
10192	6180061	6183693																																																																																																																																		
10193	6206830	 E36000	5769785	6157850	6263222	6036642																																																																																																																														
10194	5072371	5130992	5862312	5502980	5583995	5488731	5544163																																																																																																																													
10195	0																																																																																																																																			
10196	4721723	4007196																																																																																																																																		
10197	0																																																																																																																																			
10198	5845265	6085176	6202051	5664111																																																																																																																																
10199	0																																																																																																																																			
1019	8143848	 E37802	8378630																																																																																																																																	
101	6116963	2319145	6344785	6297720	5656985																																																																																																																															
10200	6162647																																																																																																																																			
10201	D382481	 D476889	6065634	5711488	 D387987	 D365988																																																																																																																														
10202	0																																																																																																																																			
10203	4588580	2182972	5023425	4470962																																																																																																																																
10204	1553522	2836181	5147374	5356432	2058375																																																																																																																															
10205	D439763	4770562	 D441975	4366012	 D438727	4182262	 D441980	 D439770	 D441560																																																																																																																											
10206	2163045	6274755	5947552	1000000																																																																																																																																
10207	4562181	6485744	4267320	3974153	4820833																																																																																																																															
10208	4428194	4380893	1578065	2953156	4860714	4651069																																																																																																																														
10209	5127510																																																																																																																																			
1020	6825445	7170034	6307181																																																																																																																																	
10210	5480670	5366751	2578431																																																																																																																																	
10211	5988159																																																																																																																																			
10212	5281996																																																																																																																																			
10213	5390297	5386369	5671412																																																																																																																																	
10214	0																																																																																																																																			
10215	4911580	5171107	5139368	4765777																																																																																																																																
10216	4150721	6295167	4921048	5590977	4647905	4352376	5146991																																																																																																																													
10217	5374564																																																																																																																																			
10218	5013059	3888517																																																																																																																																		
10219	5429455	5234288	3654767																																																																																																																																	
1021	7598343	7582727	5196404	2038625																																																																																																																																
10220	0																																																																																																																																			
10221	5398684	5099846																																																																																																																																		
10222	0																																																																																																																																			
10223	4673829	4649289	4511811	4451903																																																																																																																																
10224	4338301	4397839																																																																																																																																		
10225	5697444	6017855																																																																																																																																		
10226	4792525	4988621	5880092	4338301	5983900	5000000	0	4614517	4789734	5755751	4397839	4879237	5695997																																																																																																																							
10227	6056138	6196404																																																																																																																																		
10228	5937176	5721842	6112264	5884096																																																																																																																																
10229	5241806	5666789	3964278	5692361																																																																																																																																
1022	5344932	5217974	7772209																																																																																																																																	
10230	5084479	6194415	4087544	6248741	4024175	5856329																																																																																																																														
10231	3726566	5368370	4613139	5636906	6128004	5577809	5597213	5435631																																																																																																																												
10232	4872296	4652321																																																																																																																																		
10233	5110046	4463898																																																																																																																																		
10234	5476778																																																																																																																																			
10235	4733971																																																																																																																																			
10236	4024175	4894476	4087544	5084479																																																																																																																																
10237	6152063	5964177	6178912																																																																																																																																	
10238	5054902	3679291																																																																																																																																		
10239	5887273																																																																																																																																			
1023	5938086	8448799	5377877	193516	7861393																																																																																																																															
10240	5618698	5621080	5756349	5264719	1685956	4811075	5547933	4823173	1685991	4237224	4377513	5955422	1685953	4703008																																																																																																																						
10241	5485600	5594858	5812394	5530643																																																																																																																																
10242	6631006	6929807	6217742	7171738	2688917	6033553	7031789	7157431																																																																																																																												
10243	6340475	5582837	6635280																																																																																																																																	
10244	6913254	6786478																																																																																																																																		
10245	5000000	1801263																																																																																																																																		
10246	0																																																																																																																																			
